en,te
We don't know where they are now.,వారు ఇప్పుడు ఎక్కడ ఉన్నాయి మాకు తెలియదు.
boy,"ఓహ్, నా దేవుడు."
I want you to put out that cigarette.,మీరు ఆ సిగరెట్ బయట పెట్టాలని నేను కోరుకుంటున్నాను.
Tom asked Mary to wait for him here.,టామ్ మేరీని ఇక్కడ తన కోసం వేచి ఉండమని కోరాడు.
"She is from Hokkaido, but is now living in Tokyo.","ఆమె హక్కైడోకు చెందినది, కానీ ఇప్పుడు టోక్యోలో నివసిస్తోంది."
I'm very angry now.,నేను ఇప్పుడు చాలా కోపంగా ఉన్నాను.
I don't know why I even bother anymore.,నేను ఇక ఎందుకు బాధపడుతున్నానో నాకు తెలియదు.
Do you think Tom saw it?,టామ్ చూశానని మీరు అనుకుంటున్నారా?
I think what you did was a mistake.,మీరు చేసినది పొరపాటు అని నేను అనుకుంటున్నాను.
Tom has a secret room in his house.,టామ్ తన ఇంట్లో ఒక రహస్య గది ఉంది.
We'll stay and fight.,మేము నిలబడి పోరాడటానికి ఉంటుంది.
Tom says he was fired.,టోమ్ అతను తొలగించారు చెప్పారు.
Tom isn't my uncle.,టామ్ నా మామయ్య కాదు.
Tom doesn't want this.,టామ్ దానిని కోరుకోడు.
You shouldn't let him get away with cheating.,మీరు అతన్ని మోసంతో తప్పించుకోకూడదు.
Tom put on his black suit and white tie.,టామ్ తన బ్లాక్ సూట్ మరియు వైట్ టై ధరించాడు.
They were all actors.,వారంతా నటులు.
"Shortly after the accident, the police came.",ప్రమాదం జరిగిన కొద్దిసేపటికే పోలీసులు వచ్చారు.
slowly,నెమ్మదిగా
It was eighty meters long.,ఇది ఎనభై మీటర్ల పొడవు.
He predicted she would win.,ఆమె గెలుస్తుందని అతను icted హించాడు.
Do you need it now?,మీకు ఇప్పుడు ఇది అవసరమా?
My watch loses three minutes a week.,నా గడియారం వారానికి మూడు నిమిషాలు కోల్పోతుంది.
I did everything the way Tom told me to do it.,టామ్ చెప్పినట్లు చెప్పినట్లు నేను ప్రతిదీ చేసాను.
We started to walk.,మేము నడవడం ప్రారంభించాము.
Thousands of homes were destroyed.,వేలాది ఇళ్ళు నాశనం అయ్యాయి.
God,దేవుడు
"You saw them, didn't you?","మీరు వాటిని చూసిన, మీరు కాదు?"
I have no time left.,నాకు సమయం లేదు.
Is it OK if I eat one of these apples?,నేను ఈ ఆపిల్ల ఒకటి తింటే సరేనా?
I thought I heard you.,నేను నిన్ను విన్నాను.
I think I feel better.,నేను బాగున్నాను.
I want to come back next year.,నేను వచ్చే ఏడాది తిరిగి రావాలనుకుంటున్నాను.
We stayed behind to help Tom.,మేము టోమ్కు సహాయం చేయడానికి వెనుకకు నిలబడ్డాము.
plants,మొక్కలు
We were kids together.,మేము కలిసి పిల్లలు.
Things changed after that.,కానీ అప్పుడు విషయాలు మార్చబడ్డాయి.
Please keep this a secret.,దయచేసి దీన్ని రహస్యంగా ఉంచండి.
Tom wants Mary and I to do that by ourselves.,టామ్ మేరీ మరియు నేను మనమే చేయాలని కోరుకుంటున్నాను.
A nod is as good as a wink to a blind horse.,ఇది ఒక బ్లైండ్ గుర్రం కళ్ళు మూసివేయడం వంటి మంచి ఉంది.
rich,ధనవంతుడు
Tom doesn't know I have three cats.,నా దగ్గర మూడు పిల్లులు ఉన్నాయని టామ్ కి తెలియదు.
You recovered quickly.,మీరు త్వరగా కోలుకున్నారు.
It must've been terrible.,ఇది భయంకరమైన ఉంది.
Tom thinks that he's always right.,టామ్ ఎప్పుడూ అతను సరైనవాడు అని అనుకుంటున్నాడు.
Tom pocketed the money.,టామ్ డబ్బు జేబులో పెట్టుకున్నాడు.
Don't meddle in my affairs.,నా వ్యవహారాల్లో జోక్యం చేసుకోకండి.
I don't think I impressed Tom.,నేను టామ్‌ను ఆకట్టుకున్నాను.
Tom knew I was jealous.,నేను అసూయపడుతున్నానని టామ్కు తెలుసు.
I wonder which way is the shortest.,ఏ మార్గం చిన్నది అని నేను ఆశ్చర్యపోతున్నాను.
Tom told Mary that John was looking for her.,జాన్ అతన్ని వెతుకుతున్నట్లు టామ్ మేరీకి చెప్పాడు.
Thank you for the wonderful gift.,అద్భుతమైన బహుమతి కోసం ధన్యవాదాలు.
Tom called me this afternoon.,టామ్ ఈ మధ్యాహ్నం నన్ను పిలిచాడు.
I did what Tom asked me to do.,టామ్ నన్ను అడిగినట్లు నేను చేసాను.
Tom didn't say how he planned to get there.,అక్కడ ఎలా చేరుకోవాలో టామ్ ప్లాన్ చేయలేదు.
Sanskrit is an ancient language that originated in the Indian subcontinent.,సంస్కృతం భారతీయ ఉపఖండంలో ఉద్భవించిన ప్రాచీన భాష.
Tom locked his doors.,టోమ్ తన తలుపులు లాక్.
The computer is broken.,కంప్యూటర్ విచ్ఛిన్నమైంది.
Can I offer a suggestion?,నేను సలహా ఇవ్వవచ్చా?
The police lowered their weapons.,పోలీసులు వారి ఆయుధాలను తగ్గించారు.
Tom's paralyzed.,టామ్ మంచుతో ఉన్నాడు.
My doctor told me that I needed to lose some weight.,నేను కొంత బరువు తగ్గాల్సిన అవసరం ఉందని నా డాక్టర్ చెప్పారు.
We don't know where they are now.,వారు ఇప్పుడు ఎక్కడ ఉన్నారో మాకు తెలియదు.
Asia is roughly four times the size of Europe.,ఆసియా ఐరోపా కంటే నాలుగు రెట్లు పెద్దది.
Tom and I both live and work in Australia.,టామ్ మరియు నేను ఇద్దరూ ఆస్ట్రేలియాలో నివసిస్తున్నాము మరియు పని చేస్తున్నాము.
I can't even remember what Tom looks like.,నేను టామ్ ఎలా కనిపిస్తుందో గుర్తు లేదు.
The poor girl went blind.,పేద అమ్మాయి అంధురాలైంది.
I want you to give a message to Tom.,మీరు టామ్‌కు సందేశం ఇవ్వాలనుకుంటున్నాను.
Do you remember what time Tom said he'd be here?,టామ్ ఇక్కడే ఉంటానని చెప్పిన సమయం మీకు గుర్తుందా?
Tom hit the ball so hard he split the bat.,"టామ్ బంతిని హార్డ్ కొట్టాడు, అతను బ్యాట్ను విభజించాడు."
Don't meddle in my affairs.,నా వ్యవహారాల్లో జోక్యం చేసుకోవద్దు.
Take this chair. It's sturdy.,ఈ కుర్చీ తీసుకోండి.
Tom is eating a cake.,టామ్ కేక్ తింటున్నాడు.
I've got a pain in my side.,నా వైపు నొప్పి వచ్చింది.
I behaved myself.,నేనే ప్రవర్తించాను.
Does Tom really have a girlfriend?,టామ్‌కు నిజంగా స్నేహితురాలు ఉందా?
You and I should stick together.,మీరు మరియు నేను కలిసి ఉండాలి.
I knew this would be hard for you.,ఇది మీకు కష్టమని నాకు తెలుసు.
I can't even remember what Tom looks like.,టామ్ ఎలా ఉంటాడో నాకు గుర్తులేదు.
What does this machine do exactly?,ఈ యంత్రం సరిగ్గా ఏమి చేస్తుంది?
I can assure you that you are wrong.,మీరు తప్పు అని నేను మీకు భరోసా ఇవ్వగలను.
She told me you were sick.,ఆమె మీరు అనారోగ్యంతో అని నాకు చెప్పారు.
Tom wanted me to help him.,నేను అతనికి సహాయం చేయాలనుకున్నాను.
I didn't know you were going to be there.,మీరు అక్కడ ఉండబోతున్నారని నాకు తెలియదు.
Where did you get all this stuff?,ఈ విషయాలన్నీ మీకు ఎక్కడ లభించాయి?
"Tom isn't a bus driver, is he?","టామ్ బస్సు డ్రైవర్ కాదు, అవునా?"
How do I know you didn't do it?,మీరు దీన్ని చేయలేదని నాకు ఎలా తెలుసు?
Do you have a piano?,మీకు పియానో ఉందా?
He put salt into his cup of coffee by mistake.,అతను అనుకోకుండా తన కప్పు కాఫీలో ఉప్పును ఉంచాడు.
Tom has gone away.,టామ్ వెళ్లిపోయాడు.
How many English words do you know?,మీకు ఎన్ని ఆంగ్ల పదాలు తెలుసు?
I just got here this morning.,నేను ఈ ఉదయం ఇక్కడకు వచ్చాను.
That didn't even occur to me.,అది నాకు కూడా జరగలేదు.
Carry on with your work.,మీ పని కొనసాగించండి.
I thought it was a mistake.,ఇది పొరపాటు అని నేను అనుకున్నాను.
Tom is still learning the rules.,టామ్ ఇప్పటికీ నియమాలను నేర్చుకుంటున్నారు.
She wrote the book about people she visited.,ఆమె సందర్శించిన వ్యక్తుల గురించి ఆమె పుస్తకం రాసింది.
Tom left his hat in my room.,టోమ్ తన టోపీని నా గదిలో వదిలిపెట్టాడు.
Tom's career is over.,టామ్ యొక్క కెరీర్ ముగిసింది.
The result will satisfy him.,ఫలితం అతన్ని సంతృప్తిపరుస్తుంది.
She was in the hospital for six weeks because she was sick.,ఆమె అనారోగ్యంతో ఆరు వారాలు ఆసుపత్రిలో ఉంది.
What would you like to buy your mother for her birthday?,మీ తల్లి పుట్టినరోజు కోసం మీరు ఏమి కొనాలనుకుంటున్నారు?
Did they ever find Tom?,వారు ఎప్పుడైనా టామ్ను కనుగొన్నారా?
Tom asked me how many countries I'd visited.,నేను ఎన్ని దేశాలను సందర్శించాను అని టామ్ నన్ను అడిగాడు.
Tom thinks that he's always right.,టామ్ అతను ఎప్పుడూ సరైనవాడు అని అనుకుంటాడు.
You're standing on my foot.,మీరు నా అడుగుల వద్ద నిలబడటానికి.
I ran to school.,నేను బార్ కు పరుగెత్తారు.
Tom said Mary was quite heavy.,టామ్ మేరీ చాలా భారీగా ఉంది.
Please lock the door.,దయచేసి తలుపు లాక్.
Tom put the map on the table.,టామ్ మ్యాప్‌ను టేబుల్‌పై ఉంచాడు.
You know I love you!,నేను నిన్ను ప్రేమిస్తున్నాను తెలుసు!
How could I've let that happen?,నేను దానిని ఎలా చేయగలను?
Father,తండ్రి
You can't know that.,అది మీకు తెలియదు.
I wonder if Tom has ever been to Boston.,టామ్ ఎప్పుడైనా బోస్టన్‌కు వెళ్ళాడా అని నేను ఆశ్చర్యపోతున్నాను.
Tom told me that he'd be home on Monday.,సోమవారం ఇంటికి వస్తాడని టామ్ చెప్పాడు.
Tom has written a book about birds.,టామ్ పక్షుల గురించి ఒక పుస్తకం రాశాడు.
Their house is near here.,వారి ఇల్లు ఇక్కడ ఉంది.
You should marry Tom.,మీరు టామ్‌ను వివాహం చేసుకోవాలి.
Tom doesn't want to leave.,టామ్ వెళ్లాలని అనుకోలేదు.
You can't be so sure.,మీరు అంత ఖచ్చితంగా ఉండలేరు.
Tom handed Mary a check for half a million dollars.,టామ్ మేరీకి అర మిలియన్ డాలర్ల చెక్కును ఇచ్చాడు.
Tom is eating a cake.,టామ్ కేక్ తింటున్నాడు.
Is everyone against him?,అందరూ ఆయనకు వ్యతిరేకంగా ఉన్నారా?
We're not worried about that at all.,మేము దాని గురించి ఆందోళన చెందలేదు.
I cannot possibly help you.,నేను మీకు సహాయం చేయలేను.
How about going out for lunch?,భోజనానికి బయటికి వెళ్లడం ఎలా?
Tom is still an amateur.,టామ్ ఇప్పటికీ ఔత్సాహికుడు.
Tom wanted to quit smoking.,టామ్ ధూమపానం మానేయాలని అనుకున్నాడు.
Are you good at remembering faces?,మీరు ముఖాలు గుర్తు?
My parents won't let me date.,నా తల్లిదండ్రులు నన్ను డేటింగ్ చేయనివ్వరు.
Students should develop their reading skills.,విద్యార్థులు తమ పఠన నైపుణ్యాలను అభివృద్ధి చేసుకోవాలి.
You're an excellent writer.,మీరు ఒక అద్భుతమైన రచయిత.
"Tom, do you have a moment?","టామ్, మీకు ఒక్క క్షణం ఉందా?"
The lighting blinded me for a while.,లైటింగ్ కాసేపు నన్ను కళ్ళుమూసుకుంది.
I have things on my mind.,నా మనస్సులో విషయాలు ఉన్నాయి.
Tom is seldom home.,టామ్ చాలా అరుదుగా ఇంట్లోనే ఉంటాడు.
Let's not start a fight.,పోరాటం ప్రారంభించనివ్వండి.
Tom asked Mary some stupid questions that she refused to answer.,టామ్ మేరీకి కొన్ని తెలివితక్కువ ప్రశ్నలను అడిగారు.
I'm getting bored.,నేను విసుగు.
Tom popped into the supermarket on his way home to buy some milk.,టామ్ కొంచెం పాలు కొనడానికి ఇంటికి వెళ్ళేటప్పుడు సూపర్ మార్కెట్లోకి ప్రవేశించాడు.
"It is a prime residential area that is known for its upscale homes, restaurants, and shopping centers.","ఇది ఉన్నత స్థాయి గృహాలు, రెస్టారెంట్లు మరియు షాపింగ్ కేంద్రాలకు ప్రసిద్ధి చెందిన ప్రధాన నివాస ప్రాంతం."
Tom has a secret room in his house.,టోమ్ తన ఇంట్లో ఒక రహస్య గది ఉంది.
I don't think that Tom is ever going to get married.,టామ్ ఎప్పటికీ వివాహం చేసుకోడు అని నేను అనుకోను.
I think you know what I'm talking about.,నేను ఏమి మాట్లాడుతున్నానో మీకు తెలుసు.
He is now almost as tall as his father is.,ఇప్పుడు అతను తన తండ్రి వలె ఎత్తులో ఉన్నాడు.
What's the worst thing that could happen?,ఏమి చెత్త విషయం జరగవచ్చు?
I'd like to ask you for some advice.,నేను మిమ్మల్ని కొన్ని సలహాలు అడగాలనుకుంటున్నాను.
Brother,సోదరుడు
I am not a foodie.,నేను ఒక ఫుడ్ అభిమానిని కాదు.
I'm not strong enough to do that.,నేను అలా చేయటానికి బలంగా లేను.
girl,అమ్మాయి
Tom is loyal to his wife.,టామ్ తన భార్యకు విధేయుడు.
"In New York, the dollar was worth eight shillings.",న్యూయార్క్‌లో డాలర్ విలువ ఎనిమిది షిల్లింగ్‌లు.
Cricket player from Chennai,చెన్నై క్రికెటర్
Tom did what he promised he'd do.,టోమ్ వాగ్దానం చేసినట్లు చేశాడు.
Tom started packing his suitcase.,టామ్ తన సంచిని ప్యాక్ చేయడం ప్రారంభించాడు.
Tom asked Mary what was wrong.,టామ్ మేరీని తప్పు ఏమిటని అడిగాడు.
Why did that have to happen to us?,మనతో అలా ఎందుకు జరగాలి?
Sold,విక్రయించబడింది
Tom told me you were afraid.,నేను భయపడుతున్నానని టామ్ చెప్పాడు.
Tom tricked Mary into paying for his ticket.,టోమ్ తన టికెట్ కోసం మేరీని మోసం చేశాడు.
actor,నటుడు
I like honey.,నాకు తేనె అంటే ఇష్టం.
playing with fire,అగ్నితో ఆడటం
Could you excuse us a sec?,మీరు మాకు ఒక క్షణం క్షమించగలరా?
Tom left his hat in my room.,టామ్ తన టోపీని నా గదిలో వదిలేశాడు.
Meeting Tom was quite an experience for me.,టోమ్ను కలవడం గొప్ప అనుభవం.
Tom swore he wouldn't do that.,టోమ్ అలా చేయనని ప్రమాణం చేశాడు.
I warned Tom not to come here.,నేను ఇక్కడకు రావద్దని టామ్కు హెచ్చరించాను.
please excuse me,దయచేసి నన్ను క్షేమించండి
Don't you feel cold?,మీకు చలి అనిపించలేదా?
The new telescope was shipped in a huge wooden box.,కొత్త టెలిస్కోప్ను ఒక పెద్ద చెక్క పెట్టెలో రవాణా చేశారు.
They are bound together by common interests.,వారు ఉమ్మడి ప్రయోజనాల పట్ల నిబద్ధత చూపుతున్నారు.
School begins in April.,పాఠశాల ఏప్రిల్లో ప్రారంభమవుతుంది.
My doctor told me that I needed to lose some weight.,నా డాక్టర్ నాకు కొంత బరువు తగ్గాలని చెప్పాడు.
Tom and Mary wanted to be together.,టామ్ మరియు మేరీ కలిసి ఉండాలనుకున్నారు.
I just got here this morning.,నేను ఈ ఉదయం ఇక్కడ వచ్చింది.
Enjoy yourself.,సంతోషంగా ఉండు.
Maybe they will come and maybe they won't.,బహుశా వారు వస్తారు మరియు బహుశా వారు కాదు.
Naga Venkata Sai is a multi-talented individual with a diverse range of skills.,నాగ వెంకట సాయి విభిన్న నైపుణ్యాలు కలిగిన బహుముఖ ప్రజ్ఞాశాలి.
Owls hunt at night.,గుడ్లగూబలు రాత్రి వేటాడతాయి.
I see the dog.,నేను కుక్కను చూస్తాను.
I don't think I've ever been this happy.,నేను ఆ సంతోషంగా ఉన్నాను అనుకుంటున్నాను లేదు.
"Tom, do you have a moment?","టామ్, మీరు ఒక క్షణం ఉందా?"
Come here.,"ఇక్కడ వస్తాయి, దయచేసి."
"You can pretend to be serious, but you can't pretend to be funny.","మీరు గంభీరంగా ఉన్నట్లు నటించవచ్చు, కానీ మీరు ఫన్నీగా నటించలేరు."
Tom is cheap.,టామ్ చౌకగా ఉంటుంది.
Can she come in time?,ఆమె సమయానికి రాగలదా?
We know what to expect.,మేము ఏమి ఆశించే తెలుసు.
Tom is a talented young man.,టామ్ ప్రతిభావంతులైన యువకుడు.
Tom thought that Mary was John's sister.,టామ్ మేరీ జాన్ సోదరి అని అనుకున్నాడు.
Tom died in his seventies.,టామ్ తన డెబ్బైలలో మరణించాడు.
Tom and Mary believed John.,టోమ్ మరియు మేరీ జాన్ నమ్మేవారు.
Tom told Mary that John was looking for her.,జాన్ తన కోసం చూస్తున్నాడని టామ్ మేరీకి చెప్పాడు.
I wanted you to know.,మీరు తెలుసుకోవాలని నేను కోరుకున్నాను.
Where are you going,మీరు ఎక్కడికి వెళుతున్నారు
It took me several hours to paint that room.,ఆ గదిని చిత్రించడానికి నాకు చాలా గంటలు పట్టింది.
Tom speaks French better than Mary does.,టోమ్ మేరీ కంటే ఫ్రెంచ్ బాగా మాట్లాడుతుంది.
Tom cut off Mary's head.,టామ్ మేరీ తల కత్తిరించాడు.
Don't ruin our fun.,మా పార్టీ నాశనం లేదు.
A vibrant city with a rich cultural heritage and a thriving economy.,గొప్ప సాంస్కృతిక వారసత్వం మరియు అభివృద్ధి చెందుతున్న ఆర్థిక వ్యవస్థతో శక్తివంతమైన నగరం.
"Tom is 13, but he still believes in Santa.","టామ్ వయసు 13, కానీ అతను ఇప్పటికీ శాంటాను నమ్ముతాడు."
I did everything the way Tom told me to do it.,నేను టోమ్ చెప్పిన ప్రతిదీ చేశాను.
Are you going or not?,మీరు వెళ్తున్నారా లేదా?
Tom is signing documents.,టామ్ పత్రాలపై సంతకం చేస్తున్నాడు.
I've heard this joke before.,ఈ జోక్ నేను ఇంతకు ముందు విన్నాను.
Tom was defeated.,టామ్ ఓడిపోయాడు.
Mother,అమ్మా
I don't think that we'll ever know what happened to Tom.,టామ్కు ఏమి జరిగిందో మనం ఎప్పటికీ తెలుసుకుంటామని నేను అనుకోను.
Mary is a brave woman.,మేరీ ధైర్యవంతురాలు.
She's thirty-three.,ఆమె ముప్పై మూడు.
How many times did you visit your grandparents last year?,గత సంవత్సరం మీరు మీ తాతామామలను ఎన్నిసార్లు సందర్శించారు?
We began kissing.,మేము ముద్దు పెట్టుకోవడం ప్రారంభించాము.
Swami Vivekananda was a disciple of the great Indian saint.,స్వామి వివేకానంద ఒక గొప్ప భారతీయ సాధువు.
Telugu is known as italian of the east.,తెలుగును ఇటాలియన్ ఆఫ్ ది ఈస్ట్ అని పిలుస్తారు.
I'll see what else needs to be done.,ఇంకా ఏమి చేయాలో నేను చూస్తాను.
I've got a pain in my side.,నా వైపున ఒక నొప్పి ఉంది.
Tom put on his black suit and white tie.,టోమ్ తన నల్ల దుస్తులు మరియు తెలుపు టైలు ధరించాడు.
Tom and Mary left alone.,టామ్ మరియు మేరీ ఒంటరిగా ఉన్నారు.
I don't want to break your heart.,నేను మీ హృదయాన్ని విచ్ఛిన్నం చేయాలనుకోవడం లేదు.
We had a chance.,మాకు అవకాశం ఉంది.
I demand that he be punished.,అతన్ని శిక్షించాలని నేను కోరుతున్నాను.
I had to drop out of college and get a job.,నేను కళాశాల వదిలి ఉద్యోగం పొందాలి.
She's the French ambassador to Portugal.,ఆమె పోర్చుగల్లో ఫ్రెంచ్ రాయబారి.
The automobile stopped.,కారు ఆగిపోయింది.
Would you please pour me a cup of coffee?,"నేను ఒక కప్పు కాఫీ, దయచేసి?"
Don't talk with your mouth full.,మీ నోటితో పూర్తిగా మాట్లాడకండి.
Tom noticed Mary was there.,మేరీ అక్కడ ఉన్నాడని టామ్ గమనించాడు.
Evil sometimes wins.,చెడు కొన్నిసార్లు గెలుస్తుంది.
Tom can't afford to buy a yacht.,టామ్ ఒక పడవ కొనడానికి భరించలేడు.
I used to be poor like you.,నేను మీలాగే పేదవాడిని.
Tom stomped his foot angrily.,టామ్ కోపంతో తన అడుగును కొట్టాడు.
Why did that have to happen to us?,అది మనకు ఎందుకు జరగాలి?
I don't really want to go fishing with Tom.,నేను నిజంగా టామ్‌తో చేపలు పట్టడానికి ఇష్టపడను.
There's the bell.,ఇది సమయం.
Tom had absolutely no idea what to do.,టోమ్ ఏమి చేయాలో ఖచ్చితంగా తెలియదు.
I never asked you to do that.,నేను ఎప్పుడూ అలా చేయమని మిమ్మల్ని అడగలేదు.
I'm not going to sing.,నేను పాడటానికి వెళ్ళడం లేదు.
Tom isn't used to city life.,టోమ్ నగర జీవితంకి అలవాటు పడలేదు.
That pen is more expensive than this one.,ఆ పెన్ ఈ కన్నా ఖరీదైనది.
No one's hungry.,ఎవరికీ ఆకలి లేదు.
I don't really want to think about it.,నేను నిజంగా దాని గురించి ఆలోచించడం ఇష్టం లేదు.
Everybody knows that he is honest.,అతను నిజాయితీపరుడని అందరికీ తెలుసు.
I love making desserts.,నేను డెజర్ట్ తయారు ప్రేమ.
Maybe the doctor can give Tom something for the pain.,బహుశా డాక్టర్ టామ్ నొప్పికి ఏదైనా ఇవ్వవచ్చు.
His legs are long.,అతని కాళ్ళు పొడవుగా ఉంటాయి.
Let's start with the basics.,బేసిక్స్‌తో ప్రారంభిద్దాం.
"Many men want to be thin, too.",చాలా మంది పురుషులు కూడా సన్నగా ఉండాలని కోరుకుంటారు.
I told Tom you'd wait.,నేను వేచి ఉండాలని టామ్ కి చెప్పాను.
I was tired and so was everybody else.,నేను అలసిపోయాను మరియు మిగతా వారందరూ.
