en,te
His legs are long.,అతని కాళ్ళు పొడవుగా ఉన్నాయి.
Sai is feeling good,సాయికి మంచి అనుభూతి కలుగుతోంది
Where are you going,మీరు ఎక్కడికి వెళుతున్నారు
"Telugu, english, tamil, french","తెలుగు, ఇంగ్లీష్, తమిళం, ఫ్రెంచ్"
Official Information,అధికారిక సమాచారం
How many times a year do you go skiing?,సంవత్సరానికి ఎన్నిసార్లు మీరు స్కీయింగ్‌కు వెళతారు?
I'm a very lucky man.,నేను చాలా అదృష్టవంతుడిని.
What are you planning on doing?,మీరు ఏమి చేయాలనుకుంటున్నారు?
I just don't think I'm successful enough.,నేను తగినంత విజయవంతమయ్యానని నేను అనుకోను.
"Whether you believe it or not, I want to get this thing over with as much as you do.","మీరు నమ్మినా, చేయకపోయినా, నేను మీరు చేసినంత మాత్రాన ఈ విషయాన్ని పొందాలనుకుంటున్నాను."
Students should develop their reading skills.,విద్యార్థులు తమ పఠన నైపుణ్యాలను పెంపొందించుకోవాలి.
Clean the barrel of this rifle.,ఈ రైఫిల్ యొక్క బారెల్ శుభ్రం చేయండి.
He is the oldest of them all.,వాటన్నిటిలో ఆయన పెద్దవాడు.
That I can't tell you.,నేను మీకు చెప్పలేను.
Things changed after that.,ఆ తర్వాత పరిస్థితులు మారిపోయాయి.
The dining room has two doors.,భోజనాల గదికి రెండు తలుపులు ఉన్నాయి.
They'll do what I tell them to do.,నేను చేయమని చెప్పినట్లు వారు చేస్తారు.
Tom had a narrow escape from death.,టామ్ మరణం నుండి ఇరుకైన తప్పించుకున్నాడు.
My father died before I got my diploma.,నా డిప్లొమా రాకముందే నాన్న చనిపోయాడు.
Tom and Mary believed John.,టామ్ మరియు మేరీ జాన్‌ను నమ్మారు.
I think I can come over this afternoon.,నేను ఈ మధ్యాహ్నం రావచ్చని అనుకుంటున్నాను.
Tom has started writing a novel.,టామ్ ఒక నవల రాయడం ప్రారంభించాడు.
I believe you all know Tom.,మీ అందరికీ టామ్ తెలుసని నేను నమ్ముతున్నాను.
I wonder who'll come.,ఎవరు వస్తారని నేను ఆశ్చర్యపోతున్నాను.
Tom thinks I need to help Mary.,నేను మేరీకి సహాయం చేయాల్సిన అవసరం ఉందని టామ్ భావిస్తాడు.
They were all actors.,వారంతా నటులు.
Tom said he couldn't walk.,టామ్ తాను నడవలేనని చెప్పాడు.
Where exactly does Tom live?,టామ్ సరిగ్గా ఎక్కడ నివసిస్తాడు?
Tom lived in Boston when he was a child.,టామ్ చిన్నతనంలో బోస్టన్‌లో నివసించాడు.
How many people know about this?,దీని గురించి ఎంత మందికి తెలుసు?
I thought it was a mistake.,ఇది పొరపాటు అని నేను అనుకున్నాను.
Try to focus.,దృష్టి పెట్టడానికి ప్రయత్నించండి.
I did everything the way Tom told me to do it.,టామ్ చెప్పినట్లు చెప్పినట్లు నేను ప్రతిదీ చేసాను.
Tom has written down a list of things we need to do.,టామ్ మనం చేయవలసిన పనుల జాబితాను వ్రాశాడు.
I can help you now.,నేను ఇప్పుడు మీకు సహాయం చేయగలను.
Tom is the youngest of my three children.,టామ్ నా ముగ్గురు పిల్లలలో చిన్నవాడు.
I've been looking for Tom.,నేను టామ్ కోసం చూస్తున్నాను.
"Tom is thirteen, but he still believes in Santa.","టామ్ పదమూడు సంవత్సరాలు, కానీ అతను ఇప్పటికీ శాంటాను నమ్ముతాడు."
Washington was the most famous man in America.,వాషింగ్టన్ అమెరికాలో అత్యంత ప్రసిద్ధ వ్యక్తి.
"Tom, do you have a moment?","టామ్, మీకు ఒక్క క్షణం ఉందా?"
Tom told me you were afraid.,టామ్ నాకు భయపడ్డాడని చెప్పాడు.
I don't think that Tom was busy yesterday.,టామ్ నిన్న బిజీగా ఉన్నాడని నేను అనుకోను.
Should I help Tom with his homework?,టామ్ తన ఇంటి పనికి నేను సహాయం చేయాలా?
I do think people will use it.,ప్రజలు దీనిని ఉపయోగిస్తారని నేను అనుకుంటున్నాను.
